Id,Provinsi,Kabupaten
1,Aceh,0
2,Bali,0
3,Banten,1
4,DI Yogyakarta,0
5,DKI Jakarta,1
6,Jambi,0
7,Jawa Barat,1
8,Jawa Tengah,1
9,Jawa Timur,1
10,Kalimantan Barat,
11,Kalimantan Timur,0
12,Kalimantan Tengah,1
13,Kalimantan Selatan,1
14,Kalimantan Utara,1
15,Kepulauan Riau,0
16,Nusa Tenggara Barat,0
17,Sumatera Selatan,1
18,Sumatera Barat,1
19,Sumatera Utara,0
20,Sulawesi Utara,0
21,Sulawesi Tenggara,0
22,Sulawesi Selatan,0
23,Sulawesi Tengah,1
24,Lampung,0
25,Riau,1
26,Maluku Utara,0
27,Maluku,0
28,Papua Barat,0
29,Papua,0
30,Sulawesi Barat,0
31,Kepulauan Bangka Belitung,0
32,Gorontalo,1
33,Nusa Tenggara Timur,0
34,Bengkulu,0
